Name,Mean index value,Index value SD,CV,index_id,measurement_id,altitude_id,annotation_method_id,variety_id,plot_id
ENRO2duzykwadrat,0.63729,0.13683,0.214706021,GNDVI,1,30,bounded,enrosadira,two
ENRO2malykwadrat,0.66171,0.10638,0.16076529,GNDVI,1,30,edges,enrosadira,two
ENRO3duzykwadrat,0.66979,0.12974,0.193702504,GNDVI,1,30,bounded,enrosadira,three
ENRO3malykwadrat,0.70756,0.09247,0.130688564,GNDVI,1,30,edges,enrosadira,three
ENRO4duzykwadrat,0.71477,0.09828,0.137498776,GNDVI,1,30,bounded,enrosadira,four
ENRO4malykwadrat,0.73146,0.083,0.113471687,GNDVI,1,30,edges,enrosadira,four
ENRO5duzykwadrat,0.69387,0.10855,0.156441408,GNDVI,1,30,bounded,enrosadira,five
ENRO5malykwadrat,0.7157,0.07904,0.110437334,GNDVI,1,30,edges,enrosadira,five
POLO2duzykwadrat,0.61115,0.13331,0.218129755,GNDVI,1,30,bounded,polonez,two
POLO2malykwadrat,0.65672,0.10269,0.156368011,GNDVI,1,30,edges,polonez,two
POLO3duzykwadrat,0.67788,0.10408,0.153537499,GNDVI,1,30,bounded,polonez,three
POLO3malykwadrat,0.69423,0.09073,0.130691558,GNDVI,1,30,edges,polonez,three
POLO4duzykwadrat,0.69697,0.08833,0.126734293,GNDVI,1,30,bounded,polonez,four
POLO4malykwadrat,0.706,0.08268,0.117110482,GNDVI,1,30,edges,polonez,four
POLO5duzykwadrat,0.68156,0.09129,0.13394272,GNDVI,1,30,bounded,polonez,five
POLO5malykwadrat,0.69574,0.08565,0.123106333,GNDVI,1,30,edges,polonez,five
ENRO2duzykwadrat,0.32007,0.10864,0.339425751,LCI,1,30,bounded,enrosadira,two
ENRO2malykwadrat,0.32194,0.09052,0.281170404,LCI,1,30,edges,enrosadira,two
ENRO3duzykwadrat,0.33638,0.11268,0.334978298,LCI,1,30,bounded,enrosadira,three
ENRO3malykwadrat,0.35437,0.09952,0.280836414,LCI,1,30,edges,enrosadira,three
ENRO4duzykwadrat,0.37532,0.11318,0.301556006,LCI,1,30,bounded,enrosadira,four
ENRO4malykwadrat,0.38015,0.09849,0.259081941,LCI,1,30,edges,enrosadira,four
ENRO5duzykwadrat,0.35584,0.10846,0.30479991,LCI,1,30,bounded,enrosadira,five
ENRO5malykwadrat,0.36829,0.0942,0.255776698,LCI,1,30,edges,enrosadira,five
POLO2duzykwadrat,0.29792,0.11128,0.373523093,LCI,1,30,bounded,polonez,two
POLO2malykwadrat,0.3168,0.10271,0.324210859,LCI,1,30,edges,polonez,two
POLO3duzykwadrat,0.33624,0.11344,0.337378063,LCI,1,30,bounded,polonez,three
POLO3malykwadrat,0.33307,0.09736,0.292310926,LCI,1,30,edges,polonez,three
POLO4duzykwadrat,0.35974,0.1202,0.334130205,LCI,1,30,bounded,polonez,four
POLO4malykwadrat,0.34457,0.0964,0.279768987,LCI,1,30,edges,polonez,four
POLO5duzykwadrat,0.3359,0.10803,0.321613575,LCI,1,30,bounded,polonez,five
