Name,index_name,altitude_m,Type,Mean vegetation index value,Mean coefficient of variation of vegetation index,Mean standard deviation of the vegetation index,Mean standard deviation of the standard deviation vegetation index,Total amplitude of vegetation index,Total increase changes of vegetation index,Total decrease changes of vegetation index,Total relative vegetation index amplitude (%),Total relative increase change of vegetation index amplitude (%),Total relative decrease change of vegetation index amplitude (%),Number of increase changes vegetation index,Number of decrease changes vegetation index,Roughness of vegetation index dynamics,Concentration of vegetation index changes,Total normalized temporal amplitude relative to index bounds,Normalized temporal roughness relative to index bounds,Spearman correlation between index level and magnitude of temporal change
Enrosadira 2 Bounded,GNDVI,30,Area,0.75916,0.0976057720893837,0.0731281818181818,0.0189497513536098,0.2496299999999996,0.0626999999999998,0.1869299999999998,0.3443474470060265,0.0811826571126864,0.26316478989334,4,6,0.3735299999999993,0.1637037453094323,0.5406745568595157,0.3434554273862773,-0.8545454545454544
Enrosadira 3 Bounded,GNDVI,30,Area,0.7847745454545454,0.0800776648764289,0.0623445454545454,0.0134110352796764,0.2613399999999998,0.0852899999999998,0.1760499999999999,0.340095475336338,0.105891045569165,0.234204429767173,5,5,0.3728599999999996,0.1313709853208168,0.6734116535893017,0.5394262881062822,-0.7212121212121211
Enrosadira 4 Bounded,GNDVI,30,Area,0.7967181818181818,0.079805299523567,0.0632645454545454,0.0118972117436283,0.25212,0.0915099999999999,0.16061,0.3202191601465872,0.1117919130945926,0.2084272470519945,5,5,0.38573,0.1244248392857507,0.7136742606727476,0.5842991006948659,-0.4303030303030302
Enrosadira 5 Bounded,GNDVI,30,Area,0.7956636363636364,0.0777530588333888,0.0615154545454545,0.0100768699144489,0.20938,0.0543799999999999,0.155,0.2695690499315306,0.0660520373221039,0.2035170126094266,3,7,0.2845500000000001,0.1625584611293795,0.5128457836924443,0.5507133077945529,-0.3818181818181818
Enrosadira 2 Edges,GNDVI,30,Area,0.7368736363636365,0.1292321794527389,0.0937136363636363,0.0233460241894534,0.3601000000000002,0.12137,0.2387300000000001,0.504597962447416,0.1598950145459707,0.3447029479014451,5,5,0.5493900000000005,0.1235702693279759,0.8546691739944348,0.435308344521624,-0.7212121212121211
Enrosadira 3 Edges,GNDVI,30,Area,0.7571481818181819,0.1134596878596352,0.0848545454545454,0.0214331347980813,0.2975500000000001,0.11208,0.18547,0.4010650765920115,0.1435791604482213,0.2574859161437902,5,5,0.4028299999999999,0.1226995390942797,0.7724874145985362,0.486173696052362,-0.5515151515151515
Enrosadira 4 Edges,GNDVI,30,Area,0.7745827272727271,0.0985615755537576,0.0759290909090909,0.0124169613469201,0.2904099999999999,0.12656,0.1638499999999999,0.3776872448703637,0.158920707006502,0.2187665378638617,5,5,0.4360099999999999,0.1266051808046819,0.8423578323646597,0.6620853005590104,-0.4787878787878787
Enrosadira 5 Edges,GNDVI,30,Area,0.7665972727272727,0.1168395272704339,0.0889818181818181,0.0156624543531221,0.26225,0.0911699999999999,0.17108,0.3468822222303355,0.1145291904301726,0.2323530318001628,3,7,0.3676199999999998,0.1470723999705561,0.6803416796430817,0.7250741056580425,-0.2848484848484848
Polonez 2 Bounded,GNDVI,30,Area,0.737569090909091,0.0965104912130791,0.0705199999999999,0.0137015174342114,0.3182899999999998,0.1164799999999999,0.2018099999999999,0.4420722173859392,0.1527628583889196,0.2893093589970195,5,5,0.4768499999999999,0.1470843054163099,0.7804354120749738,0.5990110399949697,-0.5515151515151515
Polonez 3 Bounded,GNDVI,30,Area,0.7577536363636365,0.0892150362114688,0.0672690909090909,0.0114059339420719,0.2637399999999997,0.0947799999999998,0.1689599999999999,0.3528692166193694,0.1216550340806371,0.2312141825387322,5,5,0.3887699999999996,0.129159074072188,0.6603796325226491,0.5331371007816852,-0.7818181818181817
Polonez 4 Bounded,GNDVI,30,Area,0.7722100000000001,0.0827501045613249,0.0635818181818181,0.0104394643714913,0.2660399999999999,0.0954399999999999,0.1705999999999999,0.3503263575266584,0.1204204864206138,0.2299058711060445,5,5,0.3890099999999996,0.1351759036758484,0.6900700849258713,0.6001380994989878,-0.9515151515151514
Polonez 5 Bounded,GNDVI,30,Area,0.7788181818181819,0.0818759638342459,0.06333,0.0107788375996672,0.1841800000000001,0.04241,0.14177,0.246195526929851,0.0534173585306559,0.1927781683991951,5,5,0.2264500000000001,0.1890218828618328,0.3987396264084912,0.298528449832955,-0.6727272727272726
Polonez 2 Edges,GNDVI,30,Area,0.7215454545454545,0.1192377645859379,0.084610909090909,0.0204288929971966,0.3989300000000001,0.14058,0.2583500000000001,0.5755952999175856,0.1873137259801737,0.3882815739374118,5,5,0.6059300000000002,0.1482016426880013,0.9530516708983536,0.7089597022004495,-0.7212121212121211
Polonez 3 Edges,GNDVI,30,Area,0.7336281818181818,0.1291023896249735,0.0942345454545454,0.0207509881035271,0.3229000000000001,0.12553,0.19737,0.4467003214594542,0.1658412175798915,0.2808591038795627,4,6,0.51566,0.1441498225521056,0.7981166404354538,0.6787912071187869,-0.6969696969696969
Polonez 4 Edges,GNDVI,30,Area,0.7513045454545455,0.1159178888670898,0.0869409090909091,0.0168792745427909,0.2598600000000001,0.09896,0.1609,0.3489724659391046,0.1277872594948063,0.2211852064442982,4,6,0.3930699999999999,0.1363090062721906,0.6600307206195397,0.6103899483826355,-0.7212121212121211
Polonez 5 Edges,GNDVI,30,Area,0.7605818181818182,0.1042911337132749,0.07911,0.0095375489513815,0.20539,0.05805,0.14734,0.2773907035334145,0.0741776715298482,0.2032130320035662,3,7,0.23217,0.1504993115796103,0.4703992515739091,0.3940125062796891,-0.5151515151515151
Enrosadira 2 Bounded,GNDVI,50,Area,0.7554936363636364,0.0832212548677924,0.0620245454545454,0.0162016939630622,0.2209899999999999,0.0437299999999999,0.1772599999999999,0.3096639488157836,0.0567314213705524,0.2529325274452311,4,6,0.2928099999999998,0.2101633341029136,0.4445638277440171,0.3254139721357774,-0.6969696969696969
Enrosadira 3 Bounded,GNDVI,50,Area,0.7750054545454546,0.0705058662746516,0.0541836363636363,0.0115330258585743,0.2103099999999997,0.0492499999999999,0.1610599999999998,0.281024701317988,0.0621603698731279,0.2188643314448601,5,5,0.25198,0.1774430919986541,0.4562094149872476,0.4714180877174879,-0.3575757575757575
Enrosadira 4 Bounded,GNDVI,50,Area,0.7906227272727272,0.069571185703221,0.0547636363636363,0.0103368218256166,0.1794299999999999,0.0459399999999999,0.13349,0.2326392825072791,0.0569202724233344,0.1757190100839446,5,5,0.2172800000000001,0.1622128479458081,0.4143982610071149,0.2874887469440123,-0.4181818181818181
Enrosadira 5 Bounded,GNDVI,50,Area,0.7879872727272729,0.0676846272912545,0.0531463636363636,0.0081352630845317,0.1887899999999999,0.0453799999999999,0.1434099999999999,0.245058239657137,0.0558882032395746,0.1891700364175624,3,7,0.2400999999999998,0.1657141339817519,0.4306950766194029,0.5198789779750199,-0.6242424242424242
Enrosadira 2 Edges,GNDVI,50,Area,0.7316972727272727,0.1143954385817793,0.0823690909090909,0.0211630515070702,0.2928400000000001,0.08164,0.2112,0.4168681983770933,0.1077927450338999,0.3090754533431933,5,5,0.4222200000000001,0.1489093702952742,0.6494231182840509,0.4117444597594621,-0.309090909090909
Enrosadira 3 Edges,GNDVI,50,Area,0.7508563636363637,0.095025832503147,0.0705918181818181,0.0179005697217612,0.2272699999999999,0.0714,0.1558699999999999,0.3128384505405814,0.0919571805913392,0.2208812699492422,5,5,0.2585799999999999,0.1762709611176838,0.5414585939218804,0.4442800856630763,-0.1878787878787878
Enrosadira 4 Edges,GNDVI,50,Area,0.7661690909090908,0.0883706833580846,0.0673163636363636,0.0110956327198833,0.2088300000000003,0.0756700000000001,0.1331600000000001,0.2790507389993804,0.0964583783997886,0.1825923605995917,6,4,0.2089800000000004,0.1610030659755868,0.5346257743526799,0.3324586066713858,-0.309090909090909
Enrosadira 5 Edges,GNDVI,50,Area,0.7622827272727274,0.1023741009246144,0.0779127272727272,0.0139755572990196,0.1969199999999999,0.0654299999999999,0.13149,0.2614543175159481,0.0834496716129179,0.1780046459030302,5,5,0.3076500000000003,0.1636063806343054,0.481854095926638,0.4537279092792077,-0.0787878787878787
