Name,index_name,altitude_m,Type,Mean vegetation index value,Mean coefficient of variation of vegetation index,Mean standard deviation of the vegetation index,Mean standard deviation of the standard deviation vegetation index,Total amplitude of vegetation index,Total increase changes of vegetation index,Total decrease changes of vegetation index,Total relative vegetation index amplitude (%),Total relative increase change of vegetation index amplitude (%),Total relative decrease change of vegetation index amplitude (%),Number of increase changes vegetation index,Number of decrease changes vegetation index,Roughness of vegetation index dynamics,Concentration of vegetation index changes,Total normalized temporal amplitude relative to index bounds,Normalized temporal roughness relative to index bounds,Spearman correlation between index level and magnitude of temporal change
Enrosadira 2 Edges,GNDVI,30,Area,0.7368736363636365,0.12923217945273896,0.09371363636363635,0.02334602418945345,0.3601000000000002,0.12137000000000009,0.2387300000000001,0.504597962447416,0.15989501454597077,0.3447029479014451,5,5,0.5493900000000005,0.12357026932797596,0.8546691739944348,0.435308344521624,-0.7212121212121211
Enrosadira 2 Edges,GNDVI,50,Area,0.7316972727272727,0.11439543858177935,0.0823690909090909,0.02116305150707027,0.2928400000000001,0.08164000000000005,0.21120000000000005,0.4168681983770933,0.10779274503389998,0.30907545334319336,5,5,0.42222000000000015,0.14890937029527426,0.6494231182840509,0.41174445975946217,-0.309090909090909
Enrosadira 2 Edges,LCI,30,Area,0.3942418181818182,0.2492236903481963,0.09650454545454545,0.02184359007289615,0.6448600000000001,0.28931000000000007,0.35555000000000003,1.6955785344129723,0.6669747642203941,1.028603770192578,5,5,0.9970400000000001,0.12647672620108905,1.543513176035468,1.164725629098082,-0.04242424242424241
Enrosadira 2 Edges,LCI,50,Area,0.36659454545454545,0.25902350887020587,0.09206727272727275,0.02187019071289004,0.51635,0.2227,0.29364999999999997,1.4340260122423285,0.5503812477712811,0.8836447644710475,5,5,0.6120099999999999,0.13282732257578644,1.2630365038560785,1.1567470458466094,0.38181818181818183
Enrosadira 2 Edges,MCARI,30,Area,0.6987127272727273,0.4217031983514504,0.2869190909090909,0.03663203200876125,1.21246,0.55572,0.65674,1.704400242806806,0.6917009780439562,1.0126992647628497,5,5,1.7589100000000002,0.1309095344221974,4.735581841827407,6.670531691685283,0.709090909090909
Enrosadira 2 Edges,MCARI,50,Area,0.6542936363636364,0.40622320620591607,0.2614118181818182,0.03139739059800411,0.7373800000000003,0.3201900000000001,0.41719000000000017,1.1224636897487374,0.43831423195134356,0.6841494577973939,4,5,1.226220000000001,0.17410107418893603,1.9102390294166691,2.5453361264103163,0.18787878787878787
Enrosadira 2 Edges,MCARI2,30,Area,0.6435472727272727,0.3294275471733672,0.20466272727272727,0.04082822138935496,0.7849300000000001,0.38000000000000006,0.40493000000000007,1.255585329671601,0.5443971682984814,0.7111881613731196,5,5,1.24132,0.15572975883389997,2.0748145016591653,2.47092835083221,-0.309090909090909
Enrosadira 2 Edges,MCARI2,50,Area,0.63716,0.3078841195481349,0.19084363636363635,0.040377202050842324,0.5607900000000001,0.26992000000000005,0.2908700000000001,0.8497583779665123,0.37385191661130934,0.475906461355203,3,6,0.7746000000000001,0.191216895575034,1.5140335332636645,2.359616272599377,0.10303030303030303
Enrosadira 2 Edges,NDRE,30,Area,0.2776263636363636,0.27510338894457914,0.07527454545454547,0.017104807139302312,0.5256400000000001,0.24061000000000005,0.28503,1.9839972888898405,0.7795145167749153,1.2044827721149252,5,5,0.8047700000000001,0.1297537745717613,1.5539387701124834,1.546060933868475,-0.18787878787878787
Enrosadira 2 Edges,NDRE,50,Area,0.24627363636363633,0.2932504617112752,0.0697818181818182,0.01746066826795688,0.50499,0.22984000000000002,0.27515,2.308189601178172,0.8572946994501849,1.4508949017279873,6,4,0.71492,0.1598924324971237,1.770113676868391,2.3477515825706483,0.24848484848484845
Enrosadira 2 Edges,NDVI,30,Area,0.8300645454545453,0.14302684511332173,0.11663636363636364,0.03938347579194281,0.2809100000000002,0.1037800000000001,0.17713000000000012,0.340870487537466,0.12106595245779557,0.21980453507967046,4,6,0.39854000000000045,0.12716999693985945,1.0271516319116152,0.9635679557681724,-0.006060606060606061
Enrosadira 2 Edges,NDVI,50,Area,0.83062,0.12541359350490316,0.10195454545454545,0.03958131917044614,0.27706,0.09206999999999999,0.18499,0.34278379076539683,0.10873116245892271,0.23405262830647414,4,5,0.39094000000000007,0.156610544926803,0.8705008404210356,0.8798714512691486,-0.5878787878787878
Enrosadira 2 Edges,OSAVI,30,Area,0.6006372727272726,0.2000594419905381,0.1172190909090909,0.030177075555641718,0.45759000000000016,0.2045300000000001,0.25306000000000006,0.7819649887178006,0.32521474320351657,0.4567502455142841,4,6,0.7481900000000001,0.15317233631298016,1.0170103446482353,1.1098431907765003,-0.35757575757575755
Enrosadira 2 Edges,OSAVI,50,Area,0.6009145454545455,0.17932761514223672,0.10554636363636362,0.02981772938126821,0.3225,0.13685999999999998,0.18564000000000003,0.5315082967977743,0.21195295584026105,0.3195553409575133,2,7,0.4450799999999998,0.16776356613184298,0.7117151344756902,0.9831532299338239,0.22424242424242422
